Prov Number,Clinic,Division,District,Specialty,Region,Prenatal Care,Postpartum Care,Imm: Child Combo 2,Antidep Med: Contacts,Antidep Med: 84 Days,Antidep Med: 180 Days,Mental Hosp FU: 7 Day,Total PMPM,PCP consult ratio n M'car,PCP consult ratio M'care,% Female-non medicare,% Female-medicare,Avg Age-non medicare,Avg Age-medicare,Panel size-non medicare,Panel size-medicare,ER Visits/1000 non M'care,ER Visits/1000 M'care,% panel vst seen by PCP,% PCP schedule for panel,URI: Appropriate Tx,Pharyngitis: Testing,AOD: Initiation of Tx,Util: 1st Line antib use,ER Visit/1000 non-m'care,PCI ratio non-m'care,MRI/1000 enr-m'care,MRI/1000 enr-NON m'care,CT/1000enr-m'care,CT/1000enr-non m'care,Lab/1000 enr-m'care,Lab/1000 enr-NON m'care,% Generic Rx,CAD: Chol Mgt-LDL Screen,Well-Child Visit 15MO: 6+,Well-Child 3-6 YO,Well-Care Adolescent,Asthma Appropriate Meds,Screen: Chlamydia,Panel - % Medicare,PCP consult ratio,CT-MRI/1000enr-m'care,CT-MRI/1000enr-non m'care,CT-MRI/1000enr-m'care&non,AOD: Engagement of Tx,CAD: Beta Blocker Persist,Total panel size,Panel Inx:agg Pat inx #2,Controlling HBP,Panel Inx:agg Pat inx #1,Child Access 7-11YO,DM: HbA1c Test,DM: Retinal Exam,DM: LDL Screen (Annual),DM: LDL<100 (Annual),DM: LDL<130,DM: Nephropathy,Pri Care Qlty Incent Idx,Screen: Breast CA (40-69),Screen: Cervical CA,Listen carefully to you?,Explain understandably?,Spend enough time w/ you?,Respect what you said?,Your best interests 1st?,Info to diagnose/treat,Knowledge of medical hx,Helpful-clinical staff,Courtesy/Respect-clinical,Helpful-office staff,In exam room w/in 15 min,Wait time explanation,Clinician rating (0-10),Help/advice you needed,Urgent care when wanted,Appt for care when wanted,Get PCP you're happy with,Ease of seeing specialist,Get care believed nec,Overall Health Care,Courtesy/Respect-office
74,CSC,GPD,SEA,OPHTHALMOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77,CSC,GPD,SEA,OPHTHALMOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.1428571429, , , , , , , , ,0.5575221239, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83,NON,HPD,-,FAMILY MEDICINE,-, , , , , , , ,352.9559221,2.058762887,1.403010033,0.3637817171,0.4266585514,43.52276677,74.11777237,1198.75,273.8333333,0.0867570386,0.3104115692,0.5388141809,0.8113207547, , ,0,0.6431924883,0.0968000202,2.039635076,0.1026392962,0.0433785193,0.1752912391,0.0505155066,0.3620689655,0.1252643948,0.773074347, , , , , , ,0.1859543885,1.808673469,0.2775444619,0.0942648592,0.128346168,0, ,1472.583333,0, ,0, , , , , , , ,0, , ,0.6111111111,0.5833333333,0.5714285714,0.8055555556,0.6571428571,0.5714285714,0.6285714286,0.6666666667,0.8888888889,0.6666666667,0.9142857143,0.7857142857,0.6,0.5294117647,0.5483870968,0.4117647059,0.6764705882,0.8666666667,0.8709677419,0.7058823529,0.8055555556
85,OLY,GPD,OLY,PEDIATRICS,SO, , ,0.6774193548,0,1,0.3333333333, ,128.7461039,6.390029326, ,0.549526471, ,9.572038503, ,1073.5, ,0.0894271076, ,0.5863715278,0.6464114833,1,0.9411764706, ,0.7891373802,0.0798479087,7.317968776, ,0.0121155638, ,0.0158139535, ,0.0003599712,0.6036676647, ,1,0.6881188119,0.4358974359,0.6,0.3783783784,0,6.390029326, ,0.0278862242,0.0278862242, , ,1073.5,0.6698564593, ,0.6696252465,0.9236363636, , , , , , ,0.534107402, , ,0.9285714286,0.962962963,0.9259259259,0.9285714286,0.8888888889,0.7777777778,0.7777777778,0.8518518519,0.8888888889,0.7037037037,0.8888888889,0.8,0.8928571429,0.7037037037,0.6538461538,0.3928571429,0.7142857143,0.6923076923,0.8148148148,0.6296296296,0.8148148148
86,SIL,GPD,KIT,FAMILY MEDICINE,SO, , , , , , , ,88.08662281,3.333333333, ,0.4692982456, ,27.63157895, ,19, ,0.05, ,0.25,0.0014204545, , , ,0.8161993769,0.0855,3.498542274, , , , , ,0,0.8472263423, , , , , , ,0,3.333333333, , , , , ,19, , , , , , , , , , , , , ,0.78125,0.78125,0.78125,0.75,0.8125,0.7419354839,0.7419354839,0.7741935484,0.8064516129,0.6774193548,0.8709677419,0.6,0.71875,0.59375,0.5161290323,0.4375,0.6875,0.6896551724,0.7931034483,0.59375,0.7096774194
87,GHU,-,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
90,NON,HPD,-,"INTERNAL MEDICINE, GENERAL",-, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
93,CMH,-,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
94,TSC,GPD,TAC,SUBSTANCE ABUSE,SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
96,TSC,GPD,TAC,"PSYCHIATRY, ADULT",SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.3962264151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103,TMA,GPD,-,"PSYCHIATRY, ADULT",SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5066666667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112,TSC,GPD,TAC,RADIOLOGY,SO, , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , ,0.4705882353, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115,CSC,GPD,SEA,WOMEN'S HEALTH CARE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.7142857143, , , , , , , , ,0.60591133, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8888888889,0.7777777778,0.8333333333,0.8888888889,0.8823529412,0.7647058824,0.5294117647,0.6470588235,0.7058823529,0.6111111111,1,1,0.8333333333,0.4444444444,0.3333333333,0.5,0.7222222222,0.7777777778,0.8235294118,0.6111111111,0.6666666667
116,CSC,GPD,SEA,WOMEN'S HEALTH CARE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.65, , , , , , , , ,0.6603139013, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8125,0.8125,0.75,0.75,0.875,0.8,0.625,0.6,0.8571428571,0.8,0.875,0.5,0.6875,0.5,0.6153846154,0.4666666667,0.6428571429,0.8571428571,0.7142857143,0.6666666667,0.8125
120,PRT,GPD,KIT,NURSING,SO, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123,CSC,GPD,SEA,ALLERGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126,OLY,GPD,OLY,WOMEN'S HEALTH CARE,SO, , , , , , , , , , , , , , , , , , , , , , , ,0.8125, , , , , , , , ,0.7758855586, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7916666667,0.7916666667,0.75,0.875,0.875,0.7826086957,0.7916666667,0.8333333333,0.7916666667,0.7083333333,0.9583333333,0.8,0.9166666667,0.5652173913,0.3636363636,0.3333333333,0.652173913,0.7727272727,0.8636363636,0.8636363636,0.7083333333
127,NON,HPD,-,PEDIATRICS,-, , , , , , , , , , , , , , , , , , , , , , , ,0.625, , , , , , , , ,0.6451612903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128,VSP,HPD,GHO,GASTROENTEROLOGY,GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5789473684, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129,EVM,GPD,SNOH,URGENT CARE,EAST, , , , , , , , , , , , , , , , , , , ,0, , , ,0.6395604396, , , , , , , , ,0.8066992324, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7142857143,0.7142857143,0.7142857143,0.7857142857,0.6428571429,0.5,0.5714285714,0.8571428571,0.8571428571,0.7857142857,0.7272727273,0.6666666667,0.5,0.3846153846,0.5714285714,0.4166666667,0.6428571429,0.7857142857,0.7692307692,0.5714285714,0.7857142857
130,NGT,GPD,SEA,"SURGERY, ORAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131,BRN,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.4186046512, , , , , , , , ,0.8397626113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135,VNO,HPD,GHO,FAMILY MEDICINE,GHO, , , , , , , , , , ,0.5, ,35, ,2, , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137,ESC,GPD,KNG,UROLOGY,EAST, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
138,NON,HPD,-,OBSTETRICS/GYNECOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , ,0.5555555556, , , , , , , , ,0.6486486486, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139,RNT,GPD,KNG,WOMEN'S HEALTH CARE,EAST, , , , , , , , , , , , , , , , , , , , , , , ,0.8333333333, , , , , , , , ,0.7368061486, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9090909091,0.8484848485,0.9393939394,0.9393939394,0.9090909091,0.9677419355,1,0.90625,0.7096774194,0.7407407407,0.5333333333,0.9032258065,0.7931034483,0.9285714286,0.875,0.9393939394
141,EVM,GPD,SNOH,FAMILY MEDICINE,EAST, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,0.3333333333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144,TSC,GPD,TAC,PEDIATRICS,SO, , , , , , , , , , ,0, ,9.428571429, ,1, , , ,1,0.0008912656, , , ,0.7947019868, , , , , , , , ,0.660968661, , , , , , ,0, , , , , , ,1, , , , , , , , , , , , , ,0.9615384615,0.9615384615,0.9230769231,0.9230769231,0.8846153846,0.8461538462,0.72,0.84,0.92,0.8,0.8846153846,1,0.8076923077,0.6,0.44,0.32,0.9230769231,0.8461538462,0.88,0.5769230769,0.88
145,VMV,HPD,GHO,PEDIATRICS,GHO, , , , , , , , ,4.9, , , , , , , , , , , , , , , , ,7.746355685, , , , , , ,0.8333333333, , , , , , , ,4.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
149,CWI,GPD,SEA,PEDIATRICS,CENT, , , , , , , , , , , , , , , , , , , ,0, , , ,0.6666666667, , , , , , , , ,0.6502463054, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0.5,1,1,0.5,1,0.5,1
154,RED,GPD,KNG,FAMILY MEDICINE,EAST, , , , , , , , , , , , , , , , , , , ,0, , , ,0.691588785, , , , , , , , ,0.8165467626, , , , , , , , , , , , , , ,0.625,1,0.6666666667, ,1,1,0,0,0,1,0.7142857143,1,0,0.9019607843,0.88,0.86,0.92,0.8979591837,0.7346938776,0.7551020408,0.82,0.86,0.7291666667,1,0.7,0.8163265306,0.5581395349,0.5897435897,0.4047619048,0.8260869565,0.7727272727,0.9090909091,0.652173913,0.7551020408
155,NON,HPD,-,OTOLARYNGOLOGY (ENT),-, , , , , , , , , , , , , , , , , , , , , , , ,0.7777777778, , , , , , , , ,0.6981132075, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
156,NGT,GPD,SEA,PEDIATRICS,CENT, , , , , , , , , , , , , , , , , , , ,0, , , ,0.8979591837, , , , , , , , ,0.712962963, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.9285714286,0.8571428571,0.8214285714,0.8928571429,0.7857142857,0.7307692308,0.7777777778,0.8928571429,0.9642857143,0.8928571429,0.9642857143,0.6,0.8518518519,0.6666666667,0.64,0.4074074074,0.8571428571,0.75,0.9583333333,0.7857142857,1
158,OLY,GPD,OLY,GERONTOLOGY/GERIATRICS,SO, , , , , , , , , , , , , , , , , , , , , , , ,0.2857142857, , , , , , , , ,0.765625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
159,NON,HPD,-,FAMILY MEDICINE,-, , , , , , , , , , ,0.6666666667, ,42.5, ,1.5, , , , ,0, , , ,1, , , , , , , , ,0.8036809816, , , , , , ,0, , , , , , ,1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160,WIN,HPD,GHO,FAMILY MEDICINE,GHO, , , , , , , ,12025.3125,1.375,0.7368421053,1,0.5,25,65,1,1,14, ,0, , , , ,0,12,1.627150485, , , , , ,0,0.7727272727, , , , , , ,0.5,1.282442748, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
161,NGT,GPD,SEA,FAMILY MEDICINE,CENT,1,0.8928571429,1,0.1333333333,0.7333333333,0.6666666667,0,327.2789035,2.401226994,1.409090909,0.7937116564,0.8584163608,38.79010736,74.64708967,1086.666667,158.9166667,0.0828218318,0.2583002583,0.49500998,0.7885532591,1,1,0,0.6709401709,0.0921607756,2.479238524,0.0631592244,0.0294477624,0.1894776732,0.0349692179,0.2222222222,0.0569126819,0.7463400901,1,0.6,0.56,0.4057971014,0.6666666667,0.5862068966,0.1275841306,2.101970866,0.2522068096,0.0644169803,0.0883122722,0,0.5,1245.583333,0.7747819191,0.6913580247,0.780055918,0.9259259259,0.8333333333,0.7380952381,0.8095238095,0.5238095238,0.7142857143,0.8571428571,0.7505938242,0.7076923077,0.8789954338,0.7894736842,0.8947368421,0.6545454545,0.8245614035,0.8421052632,0.7192982456,0.6842105263,0.8070175439,0.8771929825,0.7894736842,0.9636363636,0.8,0.75,0.5892857143,0.5510204082,0.3684210526,0.8421052632,0.7692307692,0.8035714286,0.7142857143,0.8421052632
162,NSH,GPD,KNG,FAMILY MEDICINE,EAST, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5480769231, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
165,CSC,GPD,SEA,OPHTHALMOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
166,PRT,GPD,KIT,FAMILY MEDICINE,SO,0.5454545455,0.4545454545, ,0.2580645161,0.6774193548,0.5483870968,1,546.4635543,1.612289685,1.47503201,0.8245030213,0.8076813656,47.66949821,72.4398293,951.5833333,292.9166667,0.1418693121,0.2765260139,0.5690272802,0.873889124, ,1,0.1111111111,0.7738515901,0.1426579775,1.60050885,0.0612703383,0.0840707035,0.2150757886,0.0735618655,0.2717782577,0.0992334784,0.7652826265,0.9230769231, , ,0.3333333333,0.9444444444,0.5897435897,0.2353689567,1.562383613,0.2765260139,0.157632569,0.1856167135,0,1,1244.5,0.7678236398,0.6457399103,0.7981755986,1,0.977443609,0.6240601504,0.962406015,0.6165413534,0.8421052632,0.962406015,0.772960373,0.754601227,0.8699808795,0.6909090909,0.8,0.6545454545,0.6964285714,0.75,0.625,0.7857142857,0.8214285714,0.9285714286,0.8035714286,0.5769230769,0.8378378378,0.875,0.4074074074,0.3962264151,0.3773584906,0.8148148148,0.8367346939,0.8653846154,0.6981132075,0.8571428571
167,PRT,GPD,KIT,CONSULTATIVE INTERNAL MEDICINE,SO, , , , , , , ,840.6517647,1, ,0.4814814815, ,39.51851852, ,2.25, , , , , , , , ,0.6809210526, , , , , , , ,0,0.748034076, , , , , , ,0,1, , , , , ,2.25, , , , , , , , , , , , , ,0.7179487179,0.6666666667,0.7435897436,0.7435897436,0.7631578947,0.641025641,0.6842105263,0.6923076923,0.7948717949,0.641025641,0.7631578947,0.6842105263,0.7692307692,0.5526315789,0.4864864865,0.5135135135,0.7368421053,0.7631578947,0.8157894737,0.7567567568,0.8205128205
